Table Code,State Code,District Code,Area Name,Total/ Rural/ Urban,Age group,Worked for 3 months or more but less than 6 months -  Persons,Worked for 3 months or more but less than 6 months - Males,Worked for 3 months or more but less than 6 months - Females,Worked for less than 3 months - Persons,Worked for less than 3 months - Males,Worked for less than 3 months - Females,Industrial Category - A - Cultivators - Persons,Industrial Category - A - Cultivators - Males,Industrial Category - A - Cultivators - Females,Industrial Category - A - Agricultural labourers - Persons,Industrial Category - A - Agricultural labourers - Males,Industrial Category - A - Agricultural labourers - Females,"Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Persons","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Males","Industrial Category - A - Plantation, Livestock, Forestry, Fishing, Hunting and allied activities - Females",Industrial Category - B - Persons,Industrial Category - B - Males,Industrial Category - B - Females,Industrial Category - C - HHI - Persons,Industrial Category - C - HHI - Males,Industrial Category - C - HHI - Females,Industrial Category - C - Non HHI - Persons,Industrial Category - C - Non HHI - Males,Industrial Category - C - Non HHI - Females,Industrial Category - D & E - Persons,Industrial Category - D & E - Males,Industrial Category - D & E - Females,Industrial Category - F - Persons,Industrial Category - F - Males,Industrial Category - F - Females,Industrial Category - G - HHI - Persons,Industrial Category - G - HHI - Males,Industrial Category - G - HHI - Females,Industrial Category - G - Non HHI - Persons,Industrial Category - G - Non HHI - Males,Industrial Category - G - Non HHI - Females,Industrial Category - H - Persons,Industrial Category - H - Males,Industrial Category - H - Females,Industrial Category - I - Persons,Industrial Category - I - Males,Industrial Category - I - Females,Industrial Category - J - HHI - Persons,Industrial Category - J - HHI - Males,Industrial Category - J - HHI - Females,Industrial Category - J - Non HHI - Persons,Industrial Category - J - Non HHI - Males,Industrial Category - J - Non HHI - Females,Industrial Category - K to M - Persons,Industrial Category - K to M - Males,Industrial Category - K to M - Females,Industrial Category - N to O - Persons,Industrial Category - N to O - Males,Industrial Category - N to O - Females,Industrial Category - P to Q - Persons,Industrial Category - P to Q - Males,Industrial Category - P to Q - Females,Industrial Category - R to U - HHI - Persons,Industrial Category - R to U - HHI - Males,Industrial Category - R to U - HHI - Females,Industrial Category - R to U - Non HHI - Persons,Industrial Category - R to U - Non HHI - Males,Industrial Category - R to U - Non HHI - Females
B0706,`33,`000,State - TAMIL NADU,Total,Total,4218884,2136881,2082003,723891,337268,386623,393082,220314,172768,2372446,1034184,1338262,125099,78052,47047,14979,10290,4689,154133,53418,100715,306528,188464,118064,7137,6003,1134,390275,241619,148656,510,478,32,171440,129234,42206,84686,81715,2971,42321,33725,8596,463,350,113,23293,16984,6309,26047,21250,4797,56495,42000,14495,58788,19892,38896,89703,21366,68337,625350,274811,350539
B0706,`33,`000,State - TAMIL NADU,Total,`5-9,48238,24511,23727,2051,1021,1030,3363,1592,1771,4169,1992,2177,198,106,92,6,0,6,228,113,115,246,127,119,6,4,2,264,176,88,0,0,0,182,123,59,20,11,9,16,13,3,0,0,0,15,15,0,8,5,3,56,36,20,312,169,143,842,386,456,40358,20664,19694
B0706,`33,`000,State - TAMIL NADU,Total,`10-14,76288,39191,37097,6993,3716,3277,5072,2486,2586,13939,6974,6965,834,464,370,70,39,31,996,394,602,2808,1416,1392,24,14,10,1522,1081,441,0,0,0,1359,1101,258,260,250,10,193,155,38,0,0,0,67,50,17,51,37,14,157,113,44,506,256,250,1523,576,947,53900,27501,26399
B0706,`33,`000,State - TAMIL NADU,Total,15-19,257605,141262,116343,41938,23489,18449,17864,9336,8528,102106,51763,50343,4613,3157,1456,689,544,145,6642,2027,4615,28826,14958,13868,319,285,34,18661,15695,2966,45,39,6,13031,9523,3508,3950,3797,153,2012,1828,184,15,15,0,787,479,308,711,547,164,2029,1261,768,2114,695,1419,5349,2065,3284,89780,46737,43043
B0706,`33,`000,State - TAMIL NADU,Total,20-24,478082,257149,220933,81036,42916,38120,33647,16930,16717,216966,98959,118007,9171,6302,2869,1490,1092,398,14366,4374,9992,50791,32445,18346,1032,931,101,41762,32398,9364,69,69,0,22377,17460,4917,13199,12769,430,4172,3828,344,80,63,17,6799,4267,2532,3492,2392,1100,7882,5615,2267,11529,2861,8668,10653,2478,8175,109641,54832,54809
B0706,`33,`000,State - TAMIL NADU,Total,25-29,554851,283442,271409,91694,43398,48296,43750,22289,21461,289269,121022,168247,12934,8307,4627,2050,1395,655,20306,6321,13985,49416,31750,17666,1071,936,135,56646,38634,18012,124,112,12,23769,19411,4358,16413,15922,491,5042,4419,623,110,81,29,6668,4773,1895,4763,3770,993,8674,6389,2285,12528,4506,8022,12713,2745,9968,80299,34058,46241
B0706,`33,`000,State - TAMIL NADU,Total,30-34,483456,240046,243410,79385,34989,44396,41255,22446,18809,266670,109948,156722,13070,8097,4973,1929,1301,628,20066,6132,13934,41514,25148,16366,926,793,133,52663,32634,20029,49,46,3,21174,16748,4426,14073,13640,433,4752,3867,885,70,60,10,3844,3149,695,3824,3090,734,7243,5209,2034,8540,3168,5372,10524,2074,8450,50655,17485,33170
B0706,`33,`000,State - TAMIL NADU,Total,35-39,502791,230695,272096,84066,33718,50348,44245,23087,21158,301918,115699,186219,15102,8741,6361,2084,1321,763,20858,6157,14701,37676,21707,15969,955,779,176,54701,30436,24265,63,58,5,20736,15209,5527,12097,11729,368,5263,3990,1273,75,53,22,1933,1589,344,3174,2623,551,6600,4568,2032,6614,2117,4497,10648,1864,8784,42115,12686,29429
B0706,`33,`000,State - TAMIL NADU,Total,40-49,824271,399353,424918,137834,59778,78056,81138,44992,36146,514173,215722,298451,28854,17470,11384,3568,2375,1193,32694,11349,21345,51293,31390,19903,1554,1283,271,84341,47579,36762,100,94,6,32659,23780,8879,15498,14891,607,10376,7855,2521,55,37,18,1739,1465,274,4859,4140,719,10883,8218,2665,9406,3104,6302,16570,3453,13117,62345,19934,42411
B0706,`33,`000,State - TAMIL NADU,Total,50-59,539168,269939,269229,96980,42864,54116,61891,36183,25708,350987,153824,197163,21117,13001,8116,1822,1280,542,20359,8099,12260,26304,17435,8869,825,659,166,47104,25713,21391,46,46,0,20717,15157,5560,6754,6438,316,6324,4731,1593,42,32,10,981,817,164,3373,2996,377,8111,6507,1604,5124,1890,3234,10629,2480,8149,43638,15515,28123
